gid	variance	mutual_info	anova_f	anova_p	fwe_alpha_5e2	fdr_alpha_5e2	fpr_alpha_5e2
ENSG00000089220	0.031119460980228084	0.003700662137050781	3.8598181469186432	0.021437414991454507	False	True	True
ENSG00000123096	0.052194829430250694	0.049836269577433256	13.087565598511272	2.516676972172117e-06	True	True	True
ENSG00000123104	0.0521040948265641	0.043677500419838866	9.885676640161346	5.6919005455786066e-05	False	True	True
ENSG00000064102	0.048130449603454174	0.039798259352683774	8.767989964754118	0.00016996885982002282	False	True	True
ENSG00000185610	0.03202708201890833	0.011138093128895354	4.342008051727037	0.01329645915176703	False	True	True
ENSG00000111371	0.03106295484773993	0.0057505034508431585	5.414715252425375	0.00460346641039465	False	True	True
ENSG00000134294	0.03106295484773993	0.0057505034508431585	5.414715252425375	0.00460346641039465	False	True	True
ENSG00000139209	0.03268034109318647	0.006309973536663405	5.396191577155091	0.004688457135162421	False	True	True
ENSG00000139211	0.03242027736855978	0.010078152916000116	5.230744946489397	0.005520856741463611	False	True	True
ENSG00000005175	0.03343231743822778	0.011167073302422503	5.163284383579716	0.005901396071918253	False	True	True
ENSG00000111405	0.034451936715493826	0.013333778321729994	5.9259415696981135	0.0027793839100515227	False	True	True
ENSG00000079337	0.03527276672615602	0.013976621043565673	5.019809363286745	0.006800437270421704	False	True	True
ENSG00000211584	0.035112959792509585	0.014102458837270015	5.21456346859948	0.005609830912283958	False	True	True
ENSG00000139620	0.03069631275573419	0.012739445858193088	6.955708484093693	0.0010076706862102883	False	True	True
ENSG00000129315	0.030928856281621724	0.010282172493546016	7.130218094013311	0.0008486917939257813	False	True	True
ENSG00000110917	0.032649237975421005	0.0044642834092445405	3.520425612726903	0.03001345738427435	False	True	True
ENSG00000175970	0.032649237975421005	0.0044642834092445405	3.520425612726903	0.03001345738427435	False	True	True
ENSG00000139350	0.038885625789756934	0.013802789730218423	6.226013757145925	0.0020674858348267255	False	True	True
ENSG00000012822	0.030232353058850664	0.016829781763928908	6.541620702708264	0.0015148827411018795	False	True	True
ENSG00000139112	0.08118609761665879	0.042922112548100744	13.568526407470506	1.5784157411477694e-06	True	True	True
ENSG00000134539	0.08158890598350632	0.04166874668185083	13.330009450212094	1.989160786030458e-06	True	True	True
ENSG00000213809	0.08158890598350632	0.04166874668185083	13.330009450212094	1.989160786030458e-06	True	True	True
ENSG00000183542	0.08160183567419751	0.04339291989756311	13.554462701413673	1.600083561063618e-06	True	True	True
ENSG00000205810	0.08160183567419751	0.04339291989756311	13.554462701413673	1.600083561063618e-06	True	True	True
ENSG00000255641	0.12667973131704197	0.04683214607353525	14.230931825421727	8.308836731974167e-07	True	True	True
ENSG00000135114	0.032927435901765785	0.00524637377721926	3.335531639507908	0.036056213131369495	False	False	True
ENSG00000111012	0.030574912986420275	0.009223734495743763	4.234657265354252	0.014787611255777254	False	True	True
ENSG00000205809	0.11305901499869057	0.04330498361813473	13.052417194186006	2.6040088165753393e-06	True	True	True
ENSG00000134545	0.09132820224799615	0.0428592971634707	13.107758008069878	2.4678397205526432e-06	True	True	True
ENSG00000180574	0.08100364032531385	0.04184830303771481	12.618733433334466	3.967672978241643e-06	False	True	True
ENSG00000111196	0.08088695188670454	0.040416521156905416	11.300526217597481	1.4307114849241725e-05	False	True	True
ENSG00000060140	0.08088695188670454	0.040416521156905416	11.300526217597481	1.4307114849241725e-05	False	True	True
